Empty,Book,Author,Rating,Version
,The name of the wind,Patrick Rothfuss,3,Audible
,Marie Curie Una vida por la ciencia,National Geographic,3,Book
,"Rich Dad, Poor Dad",Robert Kiyosaki,3,Kindle
,Cashflow quadrant,Robert Kiyosaki,3,Kindle
,"The Code Breaker: Jennifer Doudna, Gene Editing, and the Future of the Human Race",Walter Isaacson,3,Audible
,The magic of thinking big,David Schwartz,3,Kindle
,Steve Jobs,Walter Isaacson,3,Kindle
,Los juegos de Ender,Orson Scott Card,2,Kindle
,Por encima de la lluvia,Víctor del Árbol,2,Kindle
,Siddharta,Hermann Hesse,2,Book
,Albert Einstein,National Geographic,2,Book
,La partícula divina,Leon Lederman,2,Book
,The richest man in Babylon,George S. Clason,2,Kindle
,Gauss y la teoría de los números,Antonio Rufián,2,Kindle
,How to avoid a climate disaster,Bill Gates,2,Kindle
,Atomic awakening,James Mahaffey,2,Kindle
,The double helix,James Watson,2,Kindle
,Greenlights,Matthew McConaughey,2,Audible
,Sapiens: a brief story of humankind,Yuval Noah Harari,2,Audible
,A thousand brains,Jeff Hawkins,2,Kindle
,The Overstory,Richard Powers,2,Kindle
,The star builders: Nuclear fusion and the race to power the planet,Arthur Turell,2,Kindle
,The 4-hour workweek,Tim Ferriss,2,Kindle
,Una historia de la guerra civil que no va a gustar a nadie,Juan Eslava Galán,2,Book
,Life 3.0,Max Tegmark,2,Kindle
,The hitchhiker's guide to the Galaxy,Douglas Adams,2,Kindle
,Kiss the ground,Josh Tickell,2,Kindle
,A promised land,Barack Obama,2,Audible
,Numbers don't lie,Vaclav Smil,2,Kindle
,Ignition! An informal history of liquid rocket propellants,John D. Clark,1,Kindle
,The people's tycoon: Henry Ford and the American century,Steven Watts,1,Kindle
,Why nations fail,"Daron Acemoglu, James A. Robinson",1,Kindle
,"Titan: The life of John D. Rockefeller, Sr.",Ron Chernow,1,Kindle
,Structures: or why things don't fall,J. E. Gordon,1,Kindle
,El fantasma de Canterville y otros cuentos,Oscar Wilde,1,Kindle
,Condenada,Chuck Palahniuk,1,Book
,"San Manuel Bueno, Mártir",Miguel de Unamuno,1,Book
,Secrets of the millionaire mind,Harv Eker,0,Kindle
,Un paseo por Wall Street,Burton G. Malkiel,0,Kindle
,Divergente,Veronica Roth,0,Kindle
,Cuando me veas,Laura Gallego,0,Kindle
,Clean Code,Robert Martin,0,Kindle
,A Short History of Nearly Everything,Bill Bryson,0,Kindle
,Think and grow rich,Napoleon Hill,0,Kindle
