Emtpy,Book,Author,Version,Rating
,Project Hail Mary ,Andy Weir,Kindle,3
,The Martian,Andy Weir,Kindle,3
,The Code Breaker: Jennifer Doudna,Walter Isaacson,Audible,3
,The Ride of a Lifetime,Robert Iger,Kindle,3
,Models,Mark Manson,Audible,3
,Born to run,Christopher McDougall,Kindle,3
,Eat And Run,Scott Jurek,Audible,3
,Klara and the Sun,Kazuo Ishiguru,Kindle,2
,The spy and the traitor,Ben Macintyre,Kindle,2
,The Psychology of Money,Morgan Housel,Audible,2
,Memoirs of a Geisha,Arthur Golden,Kindle,2
,Build,Tony Fadell,Audible,2
,Mating in Captivity,Esthel Perel,Audible,2
,Homo Deus,Yuval Noah Harari,Audible,2
,The Subtle Art of Not Giving a F*ck,Mark Manson,Kindle,2
,Love is not enough,Mark Manson,Audible,2
,What doesn't kill us,Scott Carney,Audible,2
,Shoe Dog,Phil Knight,Audible,1
,"Creativity, Inc.",Ed Catmull,Audible,1
,North,Scott Jurek,Audible,1
,Quantum computing for everyone,Chris Bernhardt,Kindle,1
,Stranger in a strange land,Robert A. Heinlein,Kindle,1
,Artemis,Andy Weir,Kindle,0
,In a sunburned country,Bill Bryson,Audible,0
,12 Rules of Life,Jordan B. Peterson,Audible,0
,Leonardo da Vinci,Walter Isaacson,Audible,0
,The Prize,Daniel Yergin,Kindle,0
,How to prevent the next pandemic,Bill Gates,Kindle,0
,Hamnet,Maggie O'Farrell,Kindle,0
