Empty,Book,Author,Version,Rating
,Project Hail Mary,Andy Weir,Kindle,3
,Surely you're joking Mr. Feynman!,Richard Feynman,Audible,3
,Be useful,Arnold Schwarzenegger,Audible,2
,Ishmael,Daniel Quinn,Book,2
,A thousand brains,Jeff Hawkins,Kindle,2
,The MANIAC,Benjamin Labatut,Book,2
,Same as ever,Morgan Housel,Audible,2
,Extreme ownership,"Jocko Willink, Leif Babin",Audible,2
,Greenlights,Matthew McConaughey,Audible,2
,The psychology of money,Morgan Housel,Audible,2
,How to not die alone,Logan Ury,Audible,1
,The coming wave,Mustafa Suleyman,Audible,1
,AI superpowers,Kai-Fu Lee,Kindle,1
,Fooled by randomness,Nassim Nicholas Taleb,Audible,1
,Thinking fast and slow,Daniel Kahneman,Audible,1
,The beginning of infinity,David Deutsch,Audible,1
,The dark forest,CiXin Liu,Kindle,1
,We are legion,Dennis E. Taylor,Audible,1
,I may be wrong,Björn Natthiko Lindeblad,Audible,1
